date,name,pos_percentage,voters_count,url
2019-10-11,Pride Run: Soundtrack,,,https://store.steampowered.com/app/1169960/Pride_Run_Soundtrack/?snr=1_7_7_240_150_59
2019-10-12,LowPoly 3D Art Paint by Number,,,https://store.steampowered.com/app/1159490/LowPoly_3D_Art_Paint_by_Number/?snr=1_7_7_240_150_58
2019-10-13,YORG.io 3,60,91,https://store.steampowered.com/app/1134480/YORGio_3/?snr=1_7_7_240_150_58
2019-10-14,Drill Down,83,36,https://store.steampowered.com/app/1162350/Drill_Down/?snr=1_7_7_240_150_58
2019-10-14,Rise to Ruins,77,71,https://store.steampowered.com/app/328080/Rise_to_Ruins/?snr=1_7_7_240_150_58
2019-10-14,Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Castles 2,,,https://store.steampowered.com/app/1088496/Jigsaw_Puzzle_Pack__Pixel_Puzzles_Ultimate_Castles_2/?snr=1_7_7_240_150_58
2019-10-14,MAD Maze,,,https://store.steampowered.com/app/1165540/MAD_Maze/?snr=1_7_7_240_150_58
2019-10-15,ChessBase 15 Steam Edition,70,10,https://store.steampowered.com/app/1063220/ChessBase_15_Steam_Edition/?snr=1_7_7_240_150_58
2019-10-15,Active Neurons - Puzzle game,100,19,https://store.steampowered.com/app/1168630/Active_Neurons__Puzzle_game/?snr=1_7_7_240_150_58
2019-10-15,Rebel Inc: Escalation,72,70,https://store.steampowered.com/app/1088790/Rebel_Inc_Escalation/?snr=1_7_7_240_150_58
2019-10-15,Jey's Empire,,,https://store.steampowered.com/app/1051420/Jeys_Empire/?snr=1_7_7_240_150_17
2019-10-15,Puzzle Game: Lee inside TV,,,https://store.steampowered.com/app/1170110/Puzzle_Game_Lee_inside_TV/?snr=1_7_7_240_150_57
2019-10-15,Rogue Star Rescue - Official Soundtrack,,,https://store.steampowered.com/app/1176980/Rogue_Star_Rescue__Official_Soundtrack/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - Devin Night Token Pack #119: Sci-fi Characters (Token Pack),,,https://store.steampowered.com/app/1171020/Fantasy_Grounds__Devin_Night_Token_Pack_119_Scifi_Characters_Token_Pack/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - A00: Crow's Rest Island (5E),,,https://store.steampowered.com/app/1168730/Fantasy_Grounds__A00_Crows_Rest_Island_5E/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - Pathfinder RPG - Ultimate Campaign (PFRPG),,,https://store.steampowered.com/app/1168200/Fantasy_Grounds__Pathfinder_RPG__Ultimate_Campaign_PFRPG/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - Encephalon Gorgers on the Moon (5E),,,https://store.steampowered.com/app/1174000/Fantasy_Grounds__Encephalon_Gorgers_on_the_Moon_5E/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - D&D Classics: The Return of Randal Morn (2E),,,https://store.steampowered.com/app/1164540/Fantasy_Grounds__DD_Classics_The_Return_of_Randal_Morn_2E/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - Deadlands Reloaded: Hell on Earth Companion (Savage Worlds),,,https://store.steampowered.com/app/1126810/Fantasy_Grounds__Deadlands_Reloaded_Hell_on_Earth_Companion_Savage_Worlds/?snr=1_7_7_240_150_58
2019-10-15,Fantasy Grounds - Starfinder RPG - Dawn of Flame AP 5: Solar Strike (SFRPG),,,https://store.steampowered.com/app/1172210/Fantasy_Grounds__Starfinder_RPG__Dawn_of_Flame_AP_5_Solar_Strike_SFRPG/?snr=1_7_7_240_150_58
2019-10-15,Hexterio,,,https://store.steampowered.com/app/1166790/Hexterio/?snr=1_7_7_240_150_58
2019-10-15,Jey's Empire,,,https://store.steampowered.com/app/1051420/Jeys_Empire/?snr=1_7_7_240_150_58
2019-10-15,Super Jigsaw Puzzle: Generations - Airplanes Puzzles,,,https://store.steampowered.com/app/1080590/Super_Jigsaw_Puzzle_Generations__Airplanes_Puzzles/?snr=1_7_7_240_150_58
2019-10-16,Lovely Heroines,40,10,https://store.steampowered.com/app/1170290/Lovely_Heroines/?snr=1_7_7_240_150_58
2019-10-16,Lovely Heroines,40,10,https://store.steampowered.com/app/1170290/Lovely_Heroines/?snr=1_7_7_240_150_58
