,date,name,pos_percentage,voters_count,url
811,2019-03-28,Command:MO - Desert Storm,,,https://store.steampowered.com/app/1182294/CommandMO__Desert_Storm/?snr=1_7_7_240_150_56
813,2019-04-01,Tank Royale,90.0,43.0,https://store.steampowered.com/app/929140/Tank_Royale/?snr=1_7_7_240_150_59
817,2019-04-03,Bandapes,,,https://store.steampowered.com/app/1214600/Bandapes/?snr=1_7_7_240_150_51
818,2019-04-05,GOLF in PAPER,,,https://store.steampowered.com/app/1060060/GOLF_in_PAPER/?snr=1_7_7_240_150_53
814,2019-04-15,Factory Coin Mining,53.0,26.0,https://store.steampowered.com/app/1069910/Factory_Coin_Mining/?snr=1_7_7_240_150_54
815,2019-04-18,Driftland: The Magic Revival,76.0,1013.0,https://store.steampowered.com/app/718650/Driftland_The_Magic_Revival/?snr=1_7_7_240_150_18
816,2019-04-23,Gadgeteer,97.0,79.0,https://store.steampowered.com/app/746560/Gadgeteer/?snr=1_7_7_240_150_30
819,2019-05-01,Grunt1914,76.0,13.0,https://store.steampowered.com/app/1059040/Grunt1914/?snr=1_7_7_240_150_56
823,2019-05-03,Money Makes Money,59.0,32.0,https://store.steampowered.com/app/1045680/Money_Makes_Money/?snr=1_7_7_240_150_56
825,2019-05-09,Armored Brigade Nation Pack: Italy - Yugoslavia,,,https://store.steampowered.com/app/1101590/Armored_Brigade_Nation_Pack_Italy__Yugoslavia/?snr=1_7_7_240_150_57
820,2019-05-16,夜之归途 Night Homing,50.0,20.0,https://store.steampowered.com/app/964240/_Night_Homing/?snr=1_7_7_240_150_57
821,2019-05-20,Miniturn,81.0,11.0,https://store.steampowered.com/app/1069220/Miniturn/?snr=1_7_7_240_150_34
822,2019-05-22,Mechanic Miner,61.0,140.0,https://store.steampowered.com/app/745010/Mechanic_Miner/?snr=1_7_7_240_150_48
824,2019-05-31,新巨商,,,https://store.steampowered.com/app/1042590/_/?snr=1_7_7_240_150_58
829,2019-06-04,Il Sole e la Luna,,,https://store.steampowered.com/app/1081960/Il_Sole_e_la_Luna/?snr=1_7_7_240_150_57
830,2019-06-09,Tower Blitz,,,https://store.steampowered.com/app/1237820/Tower_Blitz/?snr=1_7_7_240_150_40
826,2019-06-14,Click Commander,,,https://store.steampowered.com/app/1106930/Click_Commander/?snr=1_7_7_240_150_58
827,2019-06-26,TrickShot,,,https://store.steampowered.com/app/1135880/TrickShot/?snr=1_7_7_240_150_41
828,2019-06-30,Hard to be a King,,,https://store.steampowered.com/app/1104690/Hard_to_be_a_King/?snr=1_7_7_240_150_35
831,2019-07-10,Endless RPG,79.0,29.0,https://store.steampowered.com/app/1090930/Endless_RPG/?snr=1_7_7_240_150_54
832,2019-07-17,The Saga of Nino's Transmigration (尼諾的異世界物語 ~ 光與影與各自的信仰 ~),93.0,171.0,https://store.steampowered.com/app/1078960/The_Saga_of_Ninos_Transmigration/?snr=1_7_7_240_150_58
833,2019-07-30,Cardaria,65.0,26.0,https://store.steampowered.com/app/1112870/Cardaria/?snr=1_7_7_240_150_59
834,2019-07-30,Blue Box Game: Normality,,,https://store.steampowered.com/app/1214897/Blue_Box_Game_Normality/?snr=1_7_7_240_150_26
835,2019-07-30,Elo Hell - Episodes 1-5,,,https://store.steampowered.com/app/1142340/Elo_Hell__Episodes_15/?snr=1_7_7_240_150_60
